spec,env,r,p
EFOCG_EDG,C_C,0.002916423,0.774869792
EFOCG_EDG,C_SI,-0.058028144,0.000000012
EFOCG_EDG,C_MN,-0.000323594,0.974683784
EFOCG_EDG,C_P,-0.002490767,0.807023973
EFOCG_EDG,C_S1,-0.085410686,0.000000000
EFOCG_EDG,C_CU,0.001491933,0.883674938
EFOCG_EDG,C_MO,0.000435909,0.965901567
EFOCG_EDG,C_CAO,0.005499217,0.589675708
EFOCG_EDG,C_SIO2,-0.011962055,0.240736882
EFOCG_EDG,C_MGO,-0.000503503,0.960618116
EFOCG_EDG,C_AL2O3,-0.011594504,0.255497353
EFOCG_EDG,C_FEO,-0.084321402,0.000000000
EFOCG_EDG,C_S2,0.009073826,0.373531362
EFOCG_EDG,BA,-0.007165371,0.482237279
EFOCG_EDG,CCO,-0.032513283,0.001425766
EFOCG_EDG,CCO2,-0.652699525,0.000000000
EFOCG_EDG,CH2,-0.003030149,0.766341328
EFOCG_EDG,CN2,-0.015437149,0.130027431
EFOCG_EDG,C_SO2,0.017166142,0.092261344
EFOCG_EDG,PE,-0.015995612,0.116701139
EFOCG_EDG,FOCA,0.046465732,0.000005132
EFOCG_EDG,POCA,-0.026982286,0.008130459
EFOCG_EDG,OEF,-0.011652530,0.253126192
EFOCG_EDG,OEP,0.001305007,0.898164321
EFOCG_EDG,TOHA,-0.003286165,0.747247137
EFOCG_EDG,POHA,0.002494099,0.806770925
EFOCG_EDG,AWS,0.919732144,0.000000000
EFOCG_EDG,FOCW,-0.003847481,0.705936230
EFOCG_EDG,BKE,-0.000403475,0.968437240
EFOCG_EDG,FOTCW,0.002694880,0.791560886
EFOCG_EDG,CIV,-0.005003248,0.623662759
EFOCG_EDG,FS,-0.010632029,0.297087101
EFOCG_EDG,FA,0.001569927,0.877640443
EFOCG_EDG,NOCR,-0.002482451,0.807655651
EFOCG_EDG,BWOO,0.001907130,0.851636928
EFOCG_EDG,BWOC,-0.009071026,0.373678889
EFOCG_EDG,TOMI,0.047473715,0.000003188
EFOCG_EDG,TFP,0.287054916,0.000000000
EFOCG_EDG,TFT,0.305700974,0.000000000
EFOCG_EDG,SPOF,0.615953764,0.000000000
EFOCG_EDG,PDOIF,-0.048539974,0.000001907
EFOCG_EDG,PDOUF,0.617187847,0.000000000
EFOCG_EDG,PDOCF,0.006446181,0.527271797
EFOCG_EDG,OER,0.025336230,0.012951727
EFOCG_EDG,TCT,0.072596541,0.000000000
EFOCG_EDG,UROCG,-0.625126169,0.000000000
EFOCG_EDG,BGV,-0.001459005,0.886224640
EFOCG_EDG,TLOF,0.019549747,0.055186558
EFOCG_EDG,API,0.075146121,0.000000000
EFOCG_EDG,TOCW,0.419250389,0.000000000
EFOCG_EDG,SWS,-0.007966783,0.434622718
EFOCG_EDG,FOCG,-0.009978739,0.327763881
EFOCG_EDG,TOCA,0.007259171,0.476521777
EFOCG_EDG,AH,-0.017266230,0.090378285
EFOCG_CEN,C_C,0.000271442,0.978762844
EFOCG_CEN,C_SI,-0.037619932,0.000223682
EFOCG_CEN,C_MN,-0.008701754,0.393444640
EFOCG_CEN,C_P,-0.006076968,0.551197418
EFOCG_CEN,C_S1,-0.053864013,0.000000125
EFOCG_CEN,C_CU,-0.011727911,0.250068765
EFOCG_CEN,C_MO,-0.005084125,0.618062932
EFOCG_CEN,C_CAO,-0.006669158,0.513083484
EFOCG_CEN,C_SIO2,-0.008999696,0.377448245
EFOCG_CEN,C_MGO,0.002588152,0.799636505
EFOCG_CEN,C_AL2O3,0.001051063,0.917902192
EFOCG_CEN,C_FEO,-0.055750611,0.000000045
EFOCG_CEN,C_S2,0.001970543,0.846763894
EFOCG_CEN,BA,-0.014042616,0.168446976
EFOCG_CEN,CCO,0.861586665,0.000000000
EFOCG_CEN,CCO2,0.027007400,0.008071411
EFOCG_CEN,CH2,-0.006987509,0.493176464
EFOCG_CEN,CN2,-0.005721767,0.574707730
EFOCG_CEN,C_SO2,0.002764161,0.786330531
EFOCG_CEN,PE,0.013691922,0.179332191
EFOCG_CEN,FOCA,0.034712090,0.000661154
EFOCG_CEN,POCA,0.119531248,0.000000000
EFOCG_CEN,OEF,-0.002923276,0.774355096
EFOCG_CEN,OEP,-0.001419386,0.889293979
EFOCG_CEN,TOHA,0.014201684,0.163676325
EFOCG_CEN,POHA,0.025588838,0.012077257
EFOCG_CEN,AWS,-0.034945003,0.000607904
EFOCG_CEN,FOCW,-0.002195490,0.829526074
EFOCG_CEN,BKE,0.001552666,0.878975328
EFOCG_CEN,FOTCW,-0.001911442,0.851305357
EFOCG_CEN,CIV,-0.007312225,0.473305556
EFOCG_CEN,FS,0.004411962,0.665248587
EFOCG_CEN,FA,0.000863602,0.932505871
EFOCG_CEN,NOCR,-0.003164758,0.756283402
EFOCG_CEN,BWOO,-0.003709051,0.716049458
EFOCG_CEN,BWOC,0.016034067,0.115824528
EFOCG_CEN,TOMI,0.020793135,0.041412184
EFOCG_CEN,TFP,0.024957439,0.014368009
EFOCG_CEN,TFT,-0.240507095,0.000000000
EFOCG_CEN,SPOF,-0.379540595,0.000000000
EFOCG_CEN,PDOIF,0.336817459,0.000000000
EFOCG_CEN,PDOUF,-0.026530612,0.009260493
EFOCG_CEN,PDOCF,0.005621031,0.581460653
EFOCG_CEN,OER,0.014383578,0.158346666
EFOCG_CEN,TCT,0.054598931,0.000000084
EFOCG_CEN,UROCG,-0.504449484,0.000000000
EFOCG_CEN,BGV,0.002618388,0.797346523
EFOCG_CEN,TLOF,0.011830707,0.245941140
EFOCG_CEN,API,-0.245908283,0.000000000
EFOCG_CEN,TOCW,-0.002372438,0.816023446
EFOCG_CEN,SWS,0.801264864,0.000000000
EFOCG_CEN,FOCG,-0.005959551,0.558916589
EFOCG_CEN,TOCA,0.004195023,0.680777109
EFOCG_CEN,AH,0.006596111,0.517709543
CI,C_C,0.003339379,0.743297298
CI,C_SI,-0.026997782,0.008093979
CI,C_MN,-0.012485121,0.220782799
CI,C_P,-0.019715906,0.053149505
CI,C_S1,-0.038824894,0.000139559
CI,C_CU,0.001649870,0.871462586
CI,C_MO,0.006032965,0.554084066
CI,C_CAO,0.002680432,0.792652834
CI,C_SIO2,0.005553677,0.585996352
CI,C_MGO,0.018307097,0.072573040
CI,C_AL2O3,0.010329036,0.311067943
CI,C_FEO,-0.040310679,0.000076589
CI,C_S2,-0.008460619,0.406686896
CI,BA,-0.010224353,0.315997512
CI,CCO,-0.013099812,0.198883634
CI,CCO2,0.018038378,0.076869358
CI,CH2,0.008801014,0.388070379
CI,CN2,0.003116639,0.759874210
CI,C_SO2,0.007211292,0.479434507
CI,PE,0.008436478,0.408027102
CI,FOCA,0.022439587,0.027742988
CI,POCA,0.538746652,0.000000000
CI,OEF,0.009920636,0.330588411
CI,OEP,-0.008187821,0.421984191
CI,TOHA,-0.007704152,0.449919931
CI,POHA,0.017289665,0.089941874
CI,AWS,-0.027174977,0.007687140
CI,FOCW,0.011141797,0.274526768
CI,BKE,-0.011390991,0.263935457
CI,FOTCW,-0.007236988,0.477870093
CI,CIV,-0.018059023,0.076532091
CI,FS,0.002628588,0.796574311
CI,FA,-0.004041059,0.691881017
CI,NOCR,-0.011259420,0.269491910
CI,BWOO,-0.008499239,0.404548320
CI,BWOC,0.017775503,0.081270582
CI,TOMI,0.028904466,0.004579412
CI,TFP,-0.227378570,0.000000000
CI,TFT,0.017788119,0.081054799
CI,SPOF,0.013921086,0.172161568
CI,PDOIF,-0.198823273,0.000000000
CI,PDOUF,-0.436660192,0.000000000
CI,PDOCF,0.003557160,0.727203628
CI,OER,0.012451585,0.222025444
CI,TCT,0.031266068,0.002162354
CI,UROCG,0.044726561,0.000011415
CI,BGV,0.002035929,0.841745380
CI,TLOF,0.007516278,0.461047422
CI,API,-0.296377516,0.000000000
CI,TOCW,-0.003593090,0.724559764
CI,SWS,-0.002675750,0.793006749
CI,FOCG,-0.010959551,0.282454050
CI,TOCA,-0.003659261,0.719699269
CI,AH,0.002000614,0.844455103
DSL,C_C,-0.006468309,0.525854881
DSL,C_SI,-0.034907768,0.000616140
DSL,C_MN,-0.009620208,0.345443315
DSL,C_P,0.005490196,0.590286244
DSL,C_S1,-0.051148208,0.000000519
DSL,C_CU,0.001568471,0.877753059
DSL,C_MO,0.025164053,0.013579420
DSL,C_CAO,-0.010719811,0.293116359
DSL,C_SIO2,-0.003571887,0.726119599
DSL,C_MGO,-0.002073672,0.838851399
DSL,C_AL2O3,0.004915787,0.629743071
DSL,C_FEO,-0.048753247,0.000001718
DSL,C_S2,0.004124300,0.685869277
DSL,BA,-0.001484124,0.884279479
DSL,CCO,-0.016183508,0.112466900
DSL,CCO2,0.026400806,0.009610200
DSL,CH2,-0.022958761,0.024332629
DSL,CN2,0.001650510,0.871413161
DSL,C_SO2,-0.005415633,0.595343403
DSL,PE,0.007117903,0.485143761
DSL,FOCA,0.025859310,0.011199329
DSL,POCA,-0.014299357,0.160797858
DSL,OEF,0.005724825,0.574503335
DSL,OEP,-0.004311076,0.672452664
DSL,TOHA,-0.001750463,0.863700055
DSL,POHA,0.003661161,0.719559896
DSL,AWS,-0.031045758,0.002324051
DSL,FOCW,-0.004924395,0.629143550
DSL,BKE,0.006828618,0.503060155
DSL,FOTCW,0.009898085,0.331688910
DSL,CIV,-0.014895646,0.144048399
DSL,FS,-0.010529597,0.301765776
DSL,FA,-0.001745724,0.864065499
DSL,NOCR,0.014740251,0.148278750
DSL,BWOO,0.021377628,0.036018453
DSL,BWOC,-0.002663034,0.793968270
DSL,TOMI,0.024687386,0.015459465
DSL,TFP,0.350624719,0.000000000
DSL,TFT,0.411061221,0.000000000
DSL,SPOF,-0.008498750,0.404575344
DSL,PDOIF,-0.027625031,0.006734973
DSL,PDOUF,-0.021956386,0.031279623
DSL,PDOCF,0.008308799,0.415159076
DSL,OER,0.015164960,0.136936705
DSL,TCT,0.040940613,0.000059023
DSL,UROCG,-0.197754054,0.000000000
DSL,BGV,0.024131640,0.017937446
DSL,TLOF,0.011595811,0.255443783
DSL,API,0.044342846,0.000013565
DSL,TOCW,0.010178683,0.318164167
DSL,SWS,-0.004013241,0.693894466
DSL,FOCG,-0.002858386,0.779232578
DSL,TOCA,-0.003881957,0.703425465
DSL,AH,0.004487127,0.659901192
MC,C_C,-0.010568696,0.299974164
MC,C_SI,-0.027423475,0.007147459
MC,C_MN,0.011400249,0.263547476
MC,C_P,0.018253149,0.073419436
MC,C_S1,-0.038424692,0.000163472
MC,C_CU,-0.009454111,0.353835933
MC,C_MO,0.015988744,0.116858254
MC,C_CAO,-0.017113180,0.093270440
MC,C_SIO2,0.008548166,0.401848658
MC,C_MGO,-0.005280150,0.604582538
MC,C_AL2O3,-0.002656010,0.794499485
MC,C_FEO,-0.038338115,0.000169129
MC,C_S2,-0.011740460,0.249562329
MC,BA,0.016100013,0.114333271
MC,CCO,-0.015795859,0.121338836
MC,CCO2,0.024242269,0.017418112
MC,CH2,-0.006633538,0.515336615
MC,CN2,-0.012460039,0.221711740
MC,C_SO2,0.007584110,0.457012216
MC,PE,-0.006334580,0.534447497
MC,FOCA,0.025744548,0.011564667
MC,POCA,-0.009612225,0.345843763
MC,OEF,0.007093203,0.486659929
MC,OEP,0.005156745,0.613053643
MC,TOHA,0.010616771,0.297780943
MC,POHA,-0.003307625,0.745653460
MC,AWS,-0.025780070,0.011450472
MC,FOCW,-0.004079408,0.689109008
MC,BKE,-0.017266404,0.090375047
MC,FOTCW,0.005158586,0.612926876
MC,CIV,0.008013068,0.431958268
MC,FS,-0.018419171,0.070840237
MC,FA,0.027325046,0.007357019
MC,NOCR,-0.008229543,0.419622955
MC,BWOO,-0.000819650,0.935933350
MC,BWOC,-0.004783425,0.638992683
MC,TOMI,0.008405674,0.409741084
MC,TFP,-0.144039976,0.000000000
MC,TFT,-0.002563482,0.801506260
MC,SPOF,-0.004184293,0.681548775
MC,PDOIF,-0.041433252,0.000048021
MC,PDOUF,-0.017469253,0.086653628
MC,PDOCF,-0.026560123,0.009182590
MC,OER,0.012347046,0.225931112
MC,TCT,0.028679682,0.004905690
MC,UROCG,0.053583101,0.000000145
MC,BGV,0.032247816,0.001559759
MC,TLOF,0.008482626,0.405467445
MC,API,-0.076437211,0.000000000
MC,TOCW,0.009415249,0.355817994
MC,SWS,-0.003614434,0.722990753
MC,FOCG,-0.005964024,0.558621561
MC,TOCA,-0.001548539,0.879294541
MC,AH,-0.004853429,0.634093588
Hanging,C_C,-0.004765630,0.640240516
Hanging,C_SI,-0.044202417,0.000014444
Hanging,C_MN,0.015643509,0.124971879
Hanging,C_P,-0.000500372,0.960862763
Hanging,C_S1,-0.061496685,0.000000002
Hanging,C_CU,0.006985840,0.493279736
Hanging,C_MO,0.006816280,0.503832002
Hanging,C_CAO,-0.003029894,0.766360427
Hanging,C_SIO2,0.009438165,0.354648359
Hanging,C_MGO,-0.000424246,0.966813301
Hanging,C_AL2O3,-0.012977540,0.203108180
Hanging,C_FEO,-0.067764095,0.000000000
Hanging,C_S2,0.000272782,0.978657995
Hanging,BA,-0.015078031,0.139201988
Hanging,CCO,-0.023687193,0.020162943
Hanging,CCO2,0.025903868,0.011060267
Hanging,CH2,0.009337611,0.359798674
Hanging,CN2,0.011411367,0.263082088
Hanging,C_SO2,-0.006856578,0.501313426
Hanging,PE,-0.000393017,0.969254959
Hanging,FOCA,-0.846057646,0.000000000
Hanging,POCA,0.683396288,0.000000000
Hanging,OEF,-0.012250549,0.229579656
Hanging,OEP,0.017214629,0.091345207
Hanging,TOHA,-0.000914942,0.928503861
Hanging,POHA,-0.002300819,0.821482249
Hanging,AWS,-0.037013657,0.000282182
Hanging,FOCW,-0.001890355,0.852927009
Hanging,BKE,0.002288246,0.822441460
Hanging,FOTCW,0.007399242,0.468056355
Hanging,CIV,0.002690612,0.791883371
Hanging,FS,-0.010963015,0.282301945
Hanging,FA,-0.004414049,0.665099899
Hanging,NOCR,-0.003549669,0.727755241
Hanging,BWOO,-0.002269467,0.823874643
Hanging,BWOC,-0.004230440,0.678232470
Hanging,TOMI,0.027478304,0.007033062
Hanging,TFP,-0.365164911,0.000000000
Hanging,TFT,-0.355618666,0.000000000
Hanging,SPOF,-0.001895572,0.852525717
Hanging,PDOIF,0.798877146,0.000000000
Hanging,PDOUF,-0.034576099,0.000694218
